tag	pages	capacity	drains	el2_hits	el2_written	LOST_IN_RING	overflow	hits_max	nested	link_drop	kcov_req	kcov_acc	LOST_IN_KCOV	skip_own/kcov	leaked	total/uniq/EL2uniq
r1-p1	1	509	78	27611	26141	1470	4	991	0	0	26141	26141	0	0/0	0	255385/5966/132
r1-p2	2	1021	78	28107	28107	0	0	1020	0	0	28107	28107	0	0/0	0	257081/5958/132
r1-p4	4	2045	78	28196	28196	0	0	858	0	0	28196	28196	0	0/0	0	257913/6015/132
r2-p1	1	509	78	27153	26159	994	4	914	0	0	26159	26159	0	0/0	0	255517/5965/132
r2-p2	2	1021	78	26992	26992	0	0	980	0	0	26992	26992	0	0/0	0	256660/5968/132
r2-p4	4	2045	78	28038	28038	0	0	991	0	0	28038	28038	0	0/0	0	256659/5954/132
r3-p1	1	509	78	28453	27147	1306	4	965	0	0	27147	27147	0	0/0	0	255782/5963/132
r3-p2	2	1021	78	28265	28265	0	0	965	0	0	28265	28265	0	0/0	0	257467/5962/132
r3-p4	4	2045	78	28041	28041	0	0	1032	0	0	28041	28041	0	0/0	0	257118/5963/132
